,Business_Name,Boroughs,Cuisines,Inspection_Date,Action,Violation_Code,Violation_Description,Critical_Flag,Score,Grade,Grade_Date,Record_Date,Inspection_Type
988,Unforgettable lounge,Queens,Bottled beverages,07/26/2019,Violations were cited in the following area(s).,08a,Facility not vermin proof. harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not critical,22.0,B,07/26/2019,11/20/2024,Cycle inspection / re-inspection
989,Forde's sports bar,Brooklyn,Caribbean,07/27/2019,Violations were cited in the following area(s).,04a,Food protection certificate not held by supervisor of food operations.,Critical,20.0,Nan,Nan,11/20/2024,Pre-permit (operational) / compliance inspection
990,Forde's sports bar,Brooklyn,Caribbean,07/27/2019,Violations were cited in the following area(s).,08a,Facility not vermin proof. harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not critical,20.0,Nan,Nan,11/20/2024,Pre-permit (operational) / compliance inspection
991,Forde's sports bar,Brooklyn,Caribbean,07/27/2019,Violations were cited in the following area(s).,20f,Current letter grade sign not posted.,Not critical,Nan,Nan,Nan,11/20/2024,Administrative miscellaneous / compliance inspection
992,Forde's sports bar,Brooklyn,Caribbean,07/27/2019,Violations were cited in the following area(s).,04l,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,20.0,Nan,Nan,11/20/2024,Pre-permit (operational) / compliance inspection
993,The trie cafe,Manhattan,American,07/30/2019,Violations were cited in the following area(s).,04l,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,9.0,A,07/30/2019,11/20/2024,Cycle inspection / initial inspection
994,The trie cafe,Manhattan,American,07/30/2019,Violations were cited in the following area(s).,08a,Facility not vermin proof. harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not critical,9.0,A,07/30/2019,11/20/2024,Cycle inspection / initial inspection
995,Majorelle,Manhattan,French,07/30/2019,Violations were cited in the following area(s).,10b,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not critical,11.0,A,07/30/2019,11/20/2024,Cycle inspection / initial inspection
996,Majorelle,Manhattan,French,07/30/2019,Violations were cited in the following area(s).,10f,"Non-food contact surface improperly constructed. unacceptable material used. non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not critical,11.0,A,07/30/2019,11/20/2024,Cycle inspection / initial inspection
997,Majorelle,Manhattan,French,07/30/2019,Violations were cited in the following area(s).,06c,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,11.0,A,07/30/2019,11/20/2024,Cycle inspection / initial inspection
998,Egger's ice cream - richmond town,Staten island,Frozen desserts,07/31/2019,Violations were cited in the following area(s).,10i,"Single service item reused, improperly stored, dispensed; not used when required.",Not critical,11.0,A,07/31/2019,11/20/2024,Pre-permit (operational) / re-inspection
999,Egger's ice cream - richmond town,Staten island,Frozen desserts,07/31/2019,Violations were cited in the following area(s).,10j,Hand wash sign not posted,Not critical,11.0,A,07/31/2019,11/20/2024,Pre-permit (operational) / re-inspection
1000,Uz corner coffee shop,Queens,American,07/31/2019,Violations were cited in the following area(s).,02g,Cold food item held above 41º f (smoked fish and reduced oxygen packaged foods above 38 ºf) except during necessary preparation.,Critical,13.0,A,07/31/2019,11/20/2024,Pre-permit (operational) / re-inspection
1001,Egger's ice cream - richmond town,Staten island,Frozen desserts,07/31/2019,Violations were cited in the following area(s).,06a,Personal cleanliness inadequate. outer garment soiled with possible contaminant. effective hair restraint not worn in an area where food is prepared.,Critical,11.0,A,07/31/2019,11/20/2024,Pre-permit (operational) / re-inspection
1002,Uz corner coffee shop,Queens,American,07/31/2019,Violations were cited in the following area(s).,10f,"Non-food contact surface improperly constructed. unacceptable material used. non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not critical,13.0,A,07/31/2019,11/20/2024,Pre-permit (operational) / re-inspection
1003,Uz corner coffee shop,Queens,American,07/31/2019,Violations were cited in the following area(s).,10b,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not critical,13.0,A,07/31/2019,11/20/2024,Pre-permit (operational) / re-inspection
1004,Uz corner coffee shop,Queens,American,07/31/2019,Violations were cited in the following area(s).,10e,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not critical,13.0,A,07/31/2019,11/20/2024,Pre-permit (operational) / re-inspection
1005,Harbor eats (botanical center - seasonal),Staten island,American,07/31/2019,Violations were cited in the following area(s).,10f,"Non-food contact surface improperly constructed. unacceptable material used. non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not critical,2.0,A,07/31/2019,11/20/2024,Cycle inspection / initial inspection
1006,Egger's ice cream - richmond town,Staten island,Frozen desserts,07/31/2019,Violations were cited in the following area(s).,10f,"Non-food contact surface improperly constructed. unacceptable material used. non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not critical,11.0,A,07/31/2019,11/20/2024,Pre-permit (operational) / re-inspection
1007,Rogner cafe & lounge,Queens,American,08/01/2019,Violations were cited in the following area(s).,08a,Facility not vermin proof. harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not critical,12.0,A,08/01/2019,11/20/2024,Cycle inspection / re-inspection
1008,Rogner cafe & lounge,Queens,American,08/01/2019,Violations were cited in the following area(s).,10a,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not critical,12.0,A,08/01/2019,11/20/2024,Cycle inspection / re-inspection
1009,Rogner cafe & lounge,Queens,American,08/01/2019,Violations were cited in the following area(s).,04l,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12.0,A,08/01/2019,11/20/2024,Cycle inspection / re-inspection
1010,El dorado sports lounge,Queens,Caribbean,08/01/2019,Violations were cited in the following area(s).,10f,"Non-food contact surface improperly constructed. unacceptable material used. non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not critical,4.0,A,08/01/2019,11/20/2024,Cycle inspection / re-inspection
1011,El dorado sports lounge,Queens,Caribbean,08/01/2019,Violations were cited in the following area(s).,08c,Pesticide use not in accordance with label or applicable laws. prohibited chemical used/stored. open bait station used.,Not critical,4.0,A,08/01/2019,11/20/2024,Cycle inspection / re-inspection
1012,Pier 25 snack bar,Manhattan,American,08/01/2019,Violations were cited in the following area(s).,08a,Facility not vermin proof. harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not critical,10.0,A,08/01/2019,11/20/2024,Cycle inspection / initial inspection
1013,Pier 25 snack bar,Manhattan,American,08/01/2019,Violations were cited in the following area(s).,04l,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,10.0,A,08/01/2019,11/20/2024,Cycle inspection / initial inspection
1014,Fuji japanese cuisine,Queens,Japanese,08/05/2019,Violations were cited in the following area(s).,04m,Live roaches present in facility's food and/or non-food areas.,Critical,22.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
1015,Fuji japanese cuisine,Queens,Japanese,08/05/2019,Violations were cited in the following area(s).,06f,Wiping cloths soiled or not stored in sanitizing solution.,Critical,22.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
1016,Fuji japanese cuisine,Queens,Japanese,08/05/2019,Violations were cited in the following area(s).,04l,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,22.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
1017,Fuji japanese cuisine,Queens,Japanese,08/05/2019,Violations were cited in the following area(s).,08a,Facility not vermin proof. harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not critical,22.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
1018,Fuji japanese cuisine,Queens,Japanese,08/05/2019,Violations were cited in the following area(s).,02g,Cold food item held above 41º f (smoked fish and reduced oxygen packaged foods above 38 ºf) except during necessary preparation.,Critical,22.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
1019,Maimonides park concession stand 130,Brooklyn,American,08/06/2019,Violations were cited in the following area(s).,06d,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,8.0,A,08/06/2019,11/20/2024,Cycle inspection / re-inspection
1020,"Maimonides park stand # 110, tiki bar/mr softee/marty's burger",Brooklyn,American,08/06/2019,Violations were cited in the following area(s).,06e,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,6.0,A,08/06/2019,11/20/2024,Cycle inspection / re-inspection
1021,"Maimonides park stand #120, premio sausage/arancini/cheesesteaks/mr. softee",Brooklyn,American,08/06/2019,Violations were cited in the following area(s).,02b,Hot food item not held at or above 140º f.,Critical,8.0,A,08/06/2019,11/20/2024,Cycle inspection / re-inspection
1022,Maimonides park stand #140 & popcorn stand,Brooklyn,American,08/06/2019,Violations were cited in the following area(s).,06d,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7.0,A,08/06/2019,11/20/2024,Cycle inspection / re-inspection
1023,Maimonides park stand #140 & popcorn stand,Brooklyn,American,08/06/2019,Violations were cited in the following area(s).,10f,"Non-food contact surface improperly constructed. unacceptable material used. non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not critical,7.0,A,08/06/2019,11/20/2024,Cycle inspection / re-inspection
1024,Maimonides park concession stand 130,Brooklyn,American,08/06/2019,Violations were cited in the following area(s).,10f,"Non-food contact surface improperly constructed. unacceptable material used. non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not critical,8.0,A,08/06/2019,11/20/2024,Cycle inspection / re-inspection
1025,Daryl roth theatre,Manhattan,American,08/07/2019,Violations were cited in the following area(s).,06d,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,11.0,A,08/07/2019,11/20/2024,Cycle inspection / initial inspection
1026,Daryl roth theatre,Manhattan,American,08/07/2019,Violations were cited in the following area(s).,10a,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not critical,11.0,A,08/07/2019,11/20/2024,Cycle inspection / initial inspection
1027,Incredibowl,Queens,Chinese,08/07/2019,Violations were cited in the following area(s).,09c,Food contact surface not properly maintained.,Not critical,39.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
1028,Ariccia,Manhattan,Coffee/tea,08/07/2019,Violations were cited in the following area(s).,08a,Facility not vermin proof. harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not critical,12.0,A,08/07/2019,11/20/2024,Pre-permit (operational) / re-inspection
1029,Incredibowl,Queens,Chinese,08/07/2019,Violations were cited in the following area(s).,10f,"Non-food contact surface improperly constructed. unacceptable material used. non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not critical,39.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
1030,Incredibowl,Queens,Chinese,08/07/2019,Violations were cited in the following area(s).,04h,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with haccp plan.",Critical,39.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
1031,Ariccia,Manhattan,Coffee/tea,08/07/2019,Violations were cited in the following area(s).,10f,"Non-food contact surface improperly constructed. unacceptable material used. non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not critical,12.0,A,08/07/2019,11/20/2024,Pre-permit (operational) / re-inspection
1032,Incredibowl,Queens,Chinese,08/07/2019,Violations were cited in the following area(s).,02g,Cold food item held above 41º f (smoked fish and reduced oxygen packaged foods above 38 ºf) except during necessary preparation.,Critical,39.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
1033,Ariccia,Manhattan,Coffee/tea,08/07/2019,Violations were cited in the following area(s).,04l,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12.0,A,08/07/2019,11/20/2024,Pre-permit (operational) / re-inspection
1034,Incredibowl,Queens,Chinese,08/07/2019,Violations were cited in the following area(s).,10b,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not critical,39.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
1035,Daryl roth theatre,Manhattan,American,08/07/2019,Violations were cited in the following area(s).,10f,"Non-food contact surface improperly constructed. unacceptable material used. non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not critical,11.0,A,08/07/2019,11/20/2024,Cycle inspection / initial inspection
1036,Daryl roth theatre,Manhattan,American,08/07/2019,Violations were cited in the following area(s).,22a,"Nuisance created or allowed to exist.  facility not free from unsafe, hazardous, offensive or annoying conditions.",Not critical,Nan,Nan,Nan,11/20/2024,Administrative miscellaneous / initial inspection
1037,Incredibowl,Queens,Chinese,08/07/2019,Violations were cited in the following area(s).,04a,Food protection certificate not held by supervisor of food operations.,Critical,39.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
1038,Incredibowl,Queens,Chinese,08/07/2019,Violations were cited in the following area(s).,06f,Wiping cloths soiled or not stored in sanitizing solution.,Critical,39.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
1039,Accent restaurant & bar,Manhattan,Mediterranean,08/08/2019,Establishment closed by dohmh. violations were cited in the following area(s) and those requiring immediate action were addressed.,04l,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,31.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
1040,Accent restaurant & bar,Manhattan,Mediterranean,08/08/2019,Establishment closed by dohmh. violations were cited in the following area(s) and those requiring immediate action were addressed.,02g,Cold food item held above 41º f (smoked fish and reduced oxygen packaged foods above 38 ºf) except during necessary preparation.,Critical,31.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
1041,Lattanzi,Manhattan,Italian,08/08/2019,Violations were cited in the following area(s).,08a,Facility not vermin proof. harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not critical,34.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
1042,Lattanzi,Manhattan,Italian,08/08/2019,Violations were cited in the following area(s).,10f,"Non-food contact surface improperly constructed. unacceptable material used. non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not critical,34.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
1043,Lattanzi,Manhattan,Italian,08/08/2019,Violations were cited in the following area(s).,06d,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,34.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
1044,Lattanzi,Manhattan,Italian,08/08/2019,Violations were cited in the following area(s).,02g,Cold food item held above 41º f (smoked fish and reduced oxygen packaged foods above 38 ºf) except during necessary preparation.,Critical,34.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
1045,Accent restaurant & bar,Manhattan,Mediterranean,08/08/2019,Establishment closed by dohmh. violations were cited in the following area(s) and those requiring immediate action were addressed.,04m,Live roaches present in facility's food and/or non-food areas.,Critical,31.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
1046,Accent restaurant & bar,Manhattan,Mediterranean,08/08/2019,Establishment closed by dohmh. violations were cited in the following area(s) and those requiring immediate action were addressed.,06d,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,31.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
1047,Lattanzi,Manhattan,Italian,08/08/2019,Violations were cited in the following area(s).,02b,Hot food item not held at or above 140º f.,Critical,34.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
1048,Accent restaurant & bar,Manhattan,Mediterranean,08/08/2019,Establishment closed by dohmh. violations were cited in the following area(s) and those requiring immediate action were addressed.,02h,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º f to 70º f or less within 2  hours, and from 70º f to 41º f or less within 4 additional hours.",Critical,31.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
1049,Italianissimo ristorante,Manhattan,Italian,08/08/2019,Violations were cited in the following area(s).,02g,Cold food item held above 41º f (smoked fish and reduced oxygen packaged foods above 38 ºf) except during necessary preparation.,Critical,10.0,A,08/08/2019,11/20/2024,Cycle inspection / re-inspection
1050,Lattanzi,Manhattan,Italian,08/08/2019,Violations were cited in the following area(s).,04l,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,34.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
1051,Accent restaurant & bar,Manhattan,Mediterranean,08/09/2019,Establishment re-opened by dohmh.,06c,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7.0,P,08/09/2019,11/20/2024,Cycle inspection / reopening inspection
1052,Accent restaurant & bar,Manhattan,Mediterranean,08/09/2019,Establishment re-opened by dohmh.,10b,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not critical,7.0,P,08/09/2019,11/20/2024,Cycle inspection / reopening inspection
1053,Secrets,Queens,American,08/10/2019,Violations were cited in the following area(s).,04h,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with haccp plan.",Critical,22.0,Nan,Nan,11/20/2024,Inter-agency task force / initial inspection
1054,Starz banquet hall,Queens,Caribbean,08/10/2019,Violations were cited in the following area(s).,10f,"Non-food contact surface improperly constructed. unacceptable material used. non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not critical,2.0,Nan,Nan,11/20/2024,Inter-agency task force / initial inspection
1055,Secrets,Queens,American,08/10/2019,Violations were cited in the following area(s).,06d,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,22.0,Nan,Nan,11/20/2024,Inter-agency task force / initial inspection
1056,Secrets,Queens,American,08/10/2019,Violations were cited in the following area(s).,03a,Food from unapproved or unknown source or home canned. reduced oxygen packaged (rop) fish not frozen before processing; or rop foods prepared on premises transported to another site.,Critical,22.0,Nan,Nan,11/20/2024,Inter-agency task force / initial inspection
1057,Buttercup bake shop,Manhattan,Bakery products/desserts,08/12/2019,Violations were cited in the following area(s).,10f,"Non-food contact surface improperly constructed. unacceptable material used. non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not critical,2.0,A,08/12/2019,11/20/2024,Cycle inspection / initial inspection
1058,The forest park carousel,Queens,Hotdogs,08/12/2019,Violations were cited in the following area(s).,04l,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13.0,A,08/12/2019,11/20/2024,Cycle inspection / initial inspection
1059,The forest park carousel,Queens,Hotdogs,08/12/2019,Violations were cited in the following area(s).,10d,"Mechanical or natural ventilation system not provided,  improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not critical,13.0,A,08/12/2019,11/20/2024,Cycle inspection / initial inspection
1060,The forest park carousel,Queens,Hotdogs,08/12/2019,Violations were cited in the following area(s).,08a,Facility not vermin proof. harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not critical,13.0,A,08/12/2019,11/20/2024,Cycle inspection / initial inspection
1061,Queen of sheba ethiopian restaurant,Manhattan,Ethiopian,08/13/2019,Violations were cited in the following area(s).,04m,Live roaches present in facility's food and/or non-food areas.,Critical,38.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
1062,Queen of sheba ethiopian restaurant,Manhattan,Ethiopian,08/13/2019,Violations were cited in the following area(s).,04l,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,38.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
1063,Queen of sheba ethiopian restaurant,Manhattan,Ethiopian,08/13/2019,Violations were cited in the following area(s).,08a,Facility not vermin proof. harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not critical,38.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
1064,Queen of sheba ethiopian restaurant,Manhattan,Ethiopian,08/13/2019,Violations were cited in the following area(s).,06a,Personal cleanliness inadequate. outer garment soiled with possible contaminant. effective hair restraint not worn in an area where food is prepared.,Critical,38.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
1065,1847 international,Staten island,African,08/14/2019,Violations were cited in the following area(s).,15f6,Workplace sfaa policy not prominently posted in workplace,Not applicable,Nan,Nan,Nan,11/20/2024,Smoke-free air act / re-inspection
1066,1847 international,Staten island,African,08/14/2019,Violations were cited in the following area(s).,08c,Pesticide use not in accordance with label or applicable laws. prohibited chemical used/stored. open bait station used.,Not critical,13.0,A,08/14/2019,11/20/2024,Pre-permit (operational) / re-inspection
1067,1847 international,Staten island,African,08/14/2019,Violations were cited in the following area(s).,04m,Live roaches present in facility's food and/or non-food areas.,Critical,13.0,A,08/14/2019,11/20/2024,Pre-permit (operational) / re-inspection
1068,1847 international,Staten island,African,08/14/2019,Violations were cited in the following area(s).,08a,Facility not vermin proof. harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not critical,13.0,A,08/14/2019,11/20/2024,Pre-permit (operational) / re-inspection
1069,1847 international,Staten island,African,08/14/2019,Violations were cited in the following area(s).,04l,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13.0,A,08/14/2019,11/20/2024,Pre-permit (operational) / re-inspection
1070,Nyy steak,Bronx,Steakhouse,08/14/2019,Violations were cited in the following area(s).,10f,"Non-food contact surface improperly constructed. unacceptable material used. non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not critical,5.0,A,08/14/2019,11/20/2024,Cycle inspection / initial inspection
1071,Nyy steak,Bronx,Steakhouse,08/14/2019,Violations were cited in the following area(s).,10b,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not critical,5.0,A,08/14/2019,11/20/2024,Cycle inspection / initial inspection
1072,Beniam cuisine,Manhattan,Ethiopian,08/15/2019,Violations were cited in the following area(s).,02g,Cold food item held above 41º f (smoked fish and reduced oxygen packaged foods above 38 ºf) except during necessary preparation.,Critical,9.0,A,08/15/2019,11/20/2024,Cycle inspection / initial inspection
1073,C lounge,Bronx,Latin american,08/15/2019,Violations were cited in the following area(s).,08a,Facility not vermin proof. harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not critical,13.0,A,08/15/2019,11/20/2024,Pre-permit (operational) / re-inspection
1074,C lounge,Bronx,Latin american,08/15/2019,Violations were cited in the following area(s).,04m,Live roaches present in facility's food and/or non-food areas.,Critical,13.0,A,08/15/2019,11/20/2024,Pre-permit (operational) / re-inspection
1075,Al cavallino,Brooklyn,Pizza,08/17/2019,Violations were cited in the following area(s).,09b,Thawing procedures improper.,Not critical,18.0,Nan,Nan,11/20/2024,Pre-permit (operational) / initial inspection
1076,Al cavallino,Brooklyn,Pizza,08/17/2019,Violations were cited in the following area(s).,08c,Pesticide use not in accordance with label or applicable laws. prohibited chemical used/stored. open bait station used.,Not critical,18.0,Nan,Nan,11/20/2024,Pre-permit (operational) / initial inspection
1077,Al cavallino,Brooklyn,Pizza,08/17/2019,Violations were cited in the following area(s).,04n,"Filth flies or food/refuse/sewage-associated (frsa) flies present in facility’s food and/or non-food areas.  filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  food/refuse/sewage-associated flies include fruit flies, drain flies and phorid flies.",Critical,18.0,Nan,Nan,11/20/2024,Pre-permit (operational) / initial inspection
1078,Al cavallino,Brooklyn,Pizza,08/17/2019,Violations were cited in the following area(s).,08a,Facility not vermin proof. harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not critical,18.0,Nan,Nan,11/20/2024,Pre-permit (operational) / initial inspection
1079,Place to beach cantina,Brooklyn,American,08/17/2019,Violations were cited in the following area(s).,02b,Hot food item not held at or above 140º f.,Critical,13.0,A,08/17/2019,11/20/2024,Pre-permit (operational) / re-inspection
1080,Place to beach cantina,Brooklyn,American,08/17/2019,Violations were cited in the following area(s).,06c,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13.0,A,08/17/2019,11/20/2024,Pre-permit (operational) / re-inspection
1081,Al cavallino,Brooklyn,Pizza,08/17/2019,Violations were cited in the following area(s).,10b,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not critical,18.0,Nan,Nan,11/20/2024,Pre-permit (operational) / initial inspection
1082,Parq,Bronx,American,08/20/2019,Violations were cited in the following area(s).,06c,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10.0,A,08/20/2019,11/20/2024,Cycle inspection / re-inspection
1083,Fools gold,Manhattan,American,08/20/2019,Violations were cited in the following area(s).,04n,"Filth flies or food/refuse/sewage-associated (frsa) flies present in facility’s food and/or non-food areas.  filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  food/refuse/sewage-associated flies include fruit flies, drain flies and phorid flies.",Critical,18.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
1084,Fools gold,Manhattan,American,08/20/2019,Violations were cited in the following area(s).,08a,Facility not vermin proof. harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not critical,18.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
1085,Fools gold,Manhattan,American,08/20/2019,Violations were cited in the following area(s).,04h,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with haccp plan.",Critical,18.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
1086,Parq,Bronx,American,08/20/2019,Violations were cited in the following area(s).,10f,"Non-food contact surface improperly constructed. unacceptable material used. non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not critical,10.0,A,08/20/2019,11/20/2024,Cycle inspection / re-inspection
1087,Parq,Bronx,American,08/20/2019,Violations were cited in the following area(s).,08c,Pesticide use not in accordance with label or applicable laws. prohibited chemical used/stored. open bait station used.,Not critical,10.0,A,08/20/2019,11/20/2024,Cycle inspection / re-inspection
1088,Rai rai ken,Manhattan,Japanese,08/21/2019,Violations were cited in the following area(s).,08a,Facility not vermin proof. harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not critical,12.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
1089,Gyro corner clam bar,Brooklyn,Seafood,08/21/2019,Violations were cited in the following area(s).,10f,"Non-food contact surface improperly constructed. unacceptable material used. non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not critical,2.0,A,08/21/2019,11/20/2024,Cycle inspection / initial inspection
1090,Razor's bar & lounge,Brooklyn,Spanish,08/21/2019,Violations were cited in the following area(s).,04m,Live roaches present in facility's food and/or non-food areas.,Critical,36.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
1091,Razor's bar & lounge,Brooklyn,Spanish,08/21/2019,Violations were cited in the following area(s).,04h,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with haccp plan.",Critical,36.0,Nan,Nan,11/20/2024,Cycle inspection / initial inspection
